"Qty";"Value";"Device";"Package";"Parts";"Description";"PROD_ID";"VALUE";
"1";"";"LED0603";"LED-0603";"LED1";"LEDs";"";"";
"2";"";"M02PTH";"1X02";"JP1, JP3";"Header 2";"";"";
"1";"";"TCXO_7Z";"TXC_7Z";"TXCO";"";"";"";
"4";"0.1uF";"CAP0805";"0805";"C1, C3, C4, C9";"Capacitor";"";"";
"5";"10K";"RESISTOR0805-RES";"0805";"R1, R2, R3, R4, R5";"Resistor";"";"";
"3";"10nF";"CAP0805";"0805";"C2, C8, C11";"Capacitor";"";"";
"3";"10uF";"CAP0805";"0805";"C5, C7, C12";"Capacitor";"";"";
"1";"12nH";"INDUCTOR0402";"C0402";"L1";"Inductors";"";"";
"1";"2.7V";"DIODE-ZENER3.3V";"SOD-323";"D1";"Zener Diode";"DIO-11284";"3.3V";
"1";"20";"RESISTOR0805-RES";"0805";"R8";"Resistor";"";"";
"2";"470nF";"CAP0805";"0805";"C6, C10";"Capacitor";"";"";
"2";"56K";"RESISTOR0805-RES";"0805";"R6, R7";"Resistor";"";"";
"2";"ANTENNA";"ANTENNA";"ANTENNA";"ANTENNA1, ANTENNA2";"";"";"";
"1";"CC430F513X---RGZ48";"CC430F513X---RGZ48";"RGZ48";"CC430";"***CC430F513X***RGZ48 **";"";"";
"2";"LIGHTSENSORALS";"LIGHTSENSORALS";"ALS-PT19";"SUNSENSOR1, SUNSENSOR2";"Ambient Light Sensor";"IC-11836";"";
"1";"LSM9DS1";"LSM9DS1";"LGA24-8X4";"LSM9DS1";"LSM9DS1 3D accelerometer, gyroscope & magnetometer";"IC-12536";"";
"1";"LV8417CS";"LV8417CS";"LV8417CS";"H-BRIDGE";"";"";"";
"1";"NSR1030QMUTAG";"NSR1030QMUTAG";"NSR1030QMUTAG";"RECTIFIER";"";"";"";
"1";"SPRITECRYSTALSPRITECRYSTAL";"SPRITECRYSTALSPRITECRYSTAL";"SPRITECRYSTAL";"32KHZ";"";"";"";
"2";"SPRITE_PIN";"SPRITE_PIN";"SPRITE_PIN";"GNDPIN, VCCPIN";"";"";"";
"4";"TRISOLX-WING";"TRISOLX-WING";"TRISOLX-T01";"TRISOL1, TRISOL2, TRISOL3, TRISOL4";"";"";"";
